"year","zone","group","destination","measure","value"
"2007-2008","S01001802","All","Other Known","Ratio",0
"2012-2013","S01001803","All","All","Count",9
"2009-2010","S01001803","All","All","Count",11
"2007-2008","S01001803","All","All","Count",8
"2011-2012","S01001803","All","All","Count",8
"2010-2011","S01001803","All","All","Count",13
"2008-2009","S01001803","All","All","Count",6
"2008-2009","S01001803","All","Positive","Ratio","66.7"
"2009-2010","S01001803","All","Positive","Ratio",100
"2010-2011","S01001803","All","Positive","Ratio",100
"2007-2008","S01001803","All","Positive","Ratio",75
"2011-2012","S01001803","All","Positive","Ratio",100
"2012-2013","S01001803","All","Positive","Ratio",100
"2010-2011","S01001803","All","Other Known","Ratio",0
"2008-2009","S01001803","All","Other Known","Ratio","33.3"
"2009-2010","S01001803","All","Other Known","Ratio",0
"2011-2012","S01001803","All","Other Known","Ratio",0
"2012-2013","S01001803","All","Other Known","Ratio",0
"2007-2008","S01001803","All","Other Known","Ratio",25
"2010-2011","S01001804","All","All","Count",6
"2010-2011","S01001804","All","Positive","Ratio",100
"2010-2011","S01001804","All","Other Known","Ratio",0
"2008-2009","S01001804","All","Positive","Ratio","87.5"
"2008-2009","S01001804","All","All","Count",8
"2008-2009","S01001804","All","Other Known","Ratio","12.5"
"2009-2010","S01001804","All","All","Count",8
"2009-2010","S01001804","All","Other Known","Ratio",0
"2009-2010","S01001804","All","Positive","Ratio",100
"2011-2012","S01001804","All","All","Count",8
"2011-2012","S01001804","All","Positive","Ratio",100
"2011-2012","S01001804","All","Other Known","Ratio",0
"2012-2013","S01001804","All","Positive","Ratio",100
"2012-2013","S01001804","All","All","Count",14
"2012-2013","S01001804","All","Other Known","Ratio",0
"2007-2008","S01001804","All","Other Known","Ratio","12.5"
"2007-2008","S01001804","All","All","Count",8
"2007-2008","S01001804","All","Positive","Ratio","87.5"
"2012-2013","S01001805","All","All","Count",10
"2009-2010","S01001805","All","All","Count",8
"2007-2008","S01001805","All","All","Count",11
"2011-2012","S01001805","All","All","Count",7
"2010-2011","S01001805","All","All","Count",8
"2008-2009","S01001805","All","All","Count",7
"2008-2009","S01001805","All","Positive","Ratio",100
"2009-2010","S01001805","All","Positive","Ratio","87.5"
"2010-2011","S01001805","All","Positive","Ratio","62.5"
"2007-2008","S01001805","All","Positive","Ratio",100
"2011-2012","S01001805","All","Positive","Ratio",100
"2012-2013","S01001805","All","Positive","Ratio",90
"2010-2011","S01001805","All","Other Known","Ratio","37.5"
"2008-2009","S01001805","All","Other Known","Ratio",0
"2009-2010","S01001805","All","Other Known","Ratio","12.5"
"2011-2012","S01001805","All","Other Known","Ratio",0
"2012-2013","S01001805","All","Other Known","Ratio",10
"2007-2008","S01001805","All","Other Known","Ratio",0
"2010-2011","S01001806","All","All","Count",11
"2010-2011","S01001806","All","Positive","Ratio","90.9"
"2010-2011","S01001806","All","Other Known","Ratio","9.1"
"2008-2009","S01001806","All","Positive","Ratio",100
"2008-2009","S01001806","All","All","Count",4
"2008-2009","S01001806","All","Other Known","Ratio",0
"2009-2010","S01001806","All","All","Count",13
"2009-2010","S01001806","All","Other Known","Ratio","7.7"
"2009-2010","S01001806","All","Positive","Ratio","92.3"
"2011-2012","S01001806","All","All","Count",5
"2011-2012","S01001806","All","Positive","Ratio",80
"2011-2012","S01001806","All","Other Known","Ratio",20
"2012-2013","S01001806","All","Positive","Ratio",50
"2012-2013","S01001806","All","All","Count",4
"2012-2013","S01001806","All","Other Known","Ratio",50
"2007-2008","S01001806","All","Other Known","Ratio","16.7"
"2007-2008","S01001806","All","All","Count",6
"2007-2008","S01001806","All","Positive","Ratio","83.3"
"2012-2013","S01001807","All","All","Count",10
