"year","zone","group","destination","measure","value"
"2012-2013","S01002079","All","Other Known","Ratio","33.3"
"2007-2008","S01002079","All","Other Known","Ratio","33.3"
"2010-2011","S01002080","All","Other Known","Ratio","12.5"
"2008-2009","S01002080","All","Other Known","Ratio",0
"2009-2010","S01002080","All","Other Known","Ratio",0
"2011-2012","S01002080","All","Other Known","Ratio",0
"2012-2013","S01002080","All","Other Known","Ratio",0
"2007-2008","S01002080","All","Other Known","Ratio",0
"2007-2008","S01002080","All","All","Count",9
"2010-2011","S01002080","All","All","Count",8
"2009-2010","S01002080","All","All","Count",10
"2008-2009","S01002080","All","All","Count",13
"2012-2013","S01002080","All","All","Count",10
"2011-2012","S01002080","All","All","Count",10
"2011-2012","S01002080","All","Positive","Ratio",100
"2012-2013","S01002080","All","Positive","Ratio",100
"2007-2008","S01002080","All","Positive","Ratio",100
"2010-2011","S01002080","All","Positive","Ratio","87.5"
"2008-2009","S01002080","All","Positive","Ratio",100
"2009-2010","S01002080","All","Positive","Ratio",100
"2012-2013","S01002081","All","All","Count",2
"2009-2010","S01002081","All","All","Count",1
"2007-2008","S01002081","All","All","Count",7
"2011-2012","S01002081","All","All","Count",3
"2010-2011","S01002081","All","All","Count",1
"2008-2009","S01002081","All","All","Count",1
"2008-2009","S01002081","All","Positive","Ratio",0
"2009-2010","S01002081","All","Positive","Ratio",100
"2010-2011","S01002081","All","Positive","Ratio",100
"2007-2008","S01002081","All","Positive","Ratio",100
"2011-2012","S01002081","All","Positive","Ratio","33.3"
"2012-2013","S01002081","All","Positive","Ratio",100
"2010-2011","S01002081","All","Other Known","Ratio",0
"2008-2009","S01002081","All","Other Known","Ratio",100
"2009-2010","S01002081","All","Other Known","Ratio",0
"2011-2012","S01002081","All","Other Known","Ratio","66.7"
"2012-2013","S01002081","All","Other Known","Ratio",0
"2007-2008","S01002081","All","Other Known","Ratio",0
"2010-2011","S01002082","All","All","Count",4
"2008-2009","S01002082","All","All","Count",3
"2009-2010","S01002082","All","All","Count",2
"2011-2012","S01002082","All","All","Count",3
"2012-2013","S01002082","All","All","Count",1
"2007-2008","S01002082","All","All","Count",2
"2008-2009","S01002082","All","Positive","Ratio",100
"2012-2013","S01002082","All","Positive","Ratio",100
"2010-2011","S01002082","All","Positive","Ratio",100
"2009-2010","S01002082","All","Positive","Ratio",100
"2011-2012","S01002082","All","Positive","Ratio",100
"2007-2008","S01002082","All","Positive","Ratio",100
"2009-2010","S01002082","All","Other Known","Ratio",0
"2011-2012","S01002082","All","Other Known","Ratio",0
"2010-2011","S01002082","All","Other Known","Ratio",0
"2008-2009","S01002082","All","Other Known","Ratio",0
"2012-2013","S01002082","All","Other Known","Ratio",0
"2007-2008","S01002082","All","Other Known","Ratio",0
"2012-2013","S01002083","All","All","Count",5
"2009-2010","S01002083","All","All","Count",4
"2007-2008","S01002083","All","All","Count",7
"2011-2012","S01002083","All","All","Count",8
"2010-2011","S01002083","All","All","Count",7
"2008-2009","S01002083","All","All","Count",3
"2008-2009","S01002083","All","Positive","Ratio","66.7"
"2009-2010","S01002083","All","Positive","Ratio",75
"2010-2011","S01002083","All","Positive","Ratio",100
"2007-2008","S01002083","All","Positive","Ratio","71.4"
"2011-2012","S01002083","All","Positive","Ratio",100
"2012-2013","S01002083","All","Positive","Ratio",80
"2010-2011","S01002083","All","Other Known","Ratio",0
"2008-2009","S01002083","All","Other Known","Ratio","33.3"
"2009-2010","S01002083","All","Other Known","Ratio",25
"2011-2012","S01002083","All","Other Known","Ratio",0
"2012-2013","S01002083","All","Other Known","Ratio",20
"2007-2008","S01002083","All","Other Known","Ratio","28.6"
"2012-2013","S01002084","All","All","Count",1
"2009-2010","S01002084","All","All","Count",4
"2007-2008","S01002084","All","All","Count",1
"2011-2012","S01002084","All","All","Count",1
"2010-2011","S01002084","All","All","Count",4
"2008-2009","S01002084","All","All","Count",2
"2008-2009","S01002084","All","Positive","Ratio",50
"2009-2010","S01002084","All","Positive","Ratio",50
"2010-2011","S01002084","All","Positive","Ratio",75
"2007-2008","S01002084","All","Positive","Ratio",100
"2011-2012","S01002084","All","Positive","Ratio",100
"2012-2013","S01002084","All","Positive","Ratio",100
"2010-2011","S01002084","All","Other Known","Ratio",25
"2008-2009","S01002084","All","Other Known","Ratio",50
"2009-2010","S01002084","All","Other Known","Ratio",50
"2011-2012","S01002084","All","Other Known","Ratio",0
"2012-2013","S01002084","All","Other Known","Ratio",0
"2007-2008","S01002084","All","Other Known","Ratio",0
"2007-2008","S01002085","All","All","Count",2
"2010-2011","S01002085","All","All","Count",0
"2008-2009","S01002085","All","All","Count",2
"2009-2010","S01002085","All","All","Count",1
"2011-2012","S01002085","All","All","Count",1
"2012-2013","S01002085","All","All","Count",0
"2009-2010","S01002085","All","Positive","Ratio",0
"2010-2011","S01002085","All","Positive","Ratio",0
"2008-2009","S01002085","All","Positive","Ratio",100
"2011-2012","S01002085","All","Positive","Ratio",100
"2007-2008","S01002085","All","Other Known","Ratio",0
"2009-2010","S01002085","All","Other Known","Ratio",100
"2010-2011","S01002085","All","Other Known","Ratio",0
"2008-2009","S01002085","All","Other Known","Ratio",0
"2011-2012","S01002085","All","Other Known","Ratio",0
"2007-2008","S01002085","All","Positive","Ratio",100
"2010-2011","S01002086","All","All","Count",2
"2010-2011","S01002086","All","Positive","Ratio",100
"2010-2011","S01002086","All","Other Known","Ratio",0
"2008-2009","S01002086","All","Positive","Ratio",100
"2008-2009","S01002086","All","All","Count",1
"2008-2009","S01002086","All","Other Known","Ratio",0
"2009-2010","S01002086","All","All","Count",1
"2009-2010","S01002086","All","Other Known","Ratio",0
"2009-2010","S01002086","All","Positive","Ratio",100
"2011-2012","S01002086","All","All","Count",0
"2011-2012","S01002086","All","Positive","Ratio",0
"2011-2012","S01002086","All","Other Known","Ratio",0
"2012-2013","S01002086","All","Positive","Ratio","66.7"
"2012-2013","S01002086","All","All","Count",3
"2012-2013","S01002086","All","Other Known","Ratio","33.3"
"2007-2008","S01002086","All","Other Known","Ratio",0
"2007-2008","S01002086","All","All","Count",2
"2007-2008","S01002086","All","Positive","Ratio",100
"2012-2013","S01002087","All","All","Count",3
"2009-2010","S01002087","All","All","Count",2
"2007-2008","S01002087","All","All","Count",3
"2011-2012","S01002087","All","All","Count",3
"2010-2011","S01002087","All","All","Count",4
"2008-2009","S01002087","All","All","Count",3
"2008-2009","S01002087","All","Positive","Ratio","66.7"
"2009-2010","S01002087","All","Positive","Ratio",50
"2010-2011","S01002087","All","Positive","Ratio",75
"2007-2008","S01002087","All","Positive","Ratio",100
"2011-2012","S01002087","All","Positive","Ratio",100
"2012-2013","S01002087","All","Positive","Ratio","66.7"
"2010-2011","S01002087","All","Other Known","Ratio",25
"2008-2009","S01002087","All","Other Known","Ratio","33.3"
"2009-2010","S01002087","All","Other Known","Ratio",50
"2011-2012","S01002087","All","Other Known","Ratio",0
"2012-2013","S01002087","All","Other Known","Ratio","33.3"
"2007-2008","S01002087","All","Other Known","Ratio",0
"2012-2013","S01002088","All","All","Count",6
"2009-2010","S01002088","All","All","Count",11
"2007-2008","S01002088","All","All","Count",14
"2011-2012","S01002088","All","All","Count",4
"2010-2011","S01002088","All","All","Count",10
"2008-2009","S01002088","All","All","Count",3
"2008-2009","S01002088","All","Positive","Ratio","66.7"
"2009-2010","S01002088","All","Positive","Ratio",100
"2010-2011","S01002088","All","Positive","Ratio",100
"2007-2008","S01002088","All","Positive","Ratio","85.7"
"2011-2012","S01002088","All","Positive","Ratio",100
"2012-2013","S01002088","All","Positive","Ratio",100
"2010-2011","S01002088","All","Other Known","Ratio",0
"2008-2009","S01002088","All","Other Known","Ratio","33.3"
"2009-2010","S01002088","All","Other Known","Ratio",0
"2011-2012","S01002088","All","Other Known","Ratio",0
"2012-2013","S01002088","All","Other Known","Ratio",0
"2007-2008","S01002088","All","Other Known","Ratio","14.3"
"2012-2013","S01002089","All","All","Count",4
"2009-2010","S01002089","All","All","Count",5
"2007-2008","S01002089","All","All","Count",7
"2011-2012","S01002089","All","All","Count",11
"2010-2011","S01002089","All","All","Count",4
"2008-2009","S01002089","All","All","Count",15
"2008-2009","S01002089","All","Positive","Ratio","93.3"
"2009-2010","S01002089","All","Positive","Ratio",100
"2010-2011","S01002089","All","Positive","Ratio",100
"2007-2008","S01002089","All","Positive","Ratio","71.4"
"2011-2012","S01002089","All","Positive","Ratio",100
"2012-2013","S01002089","All","Positive","Ratio",100
"2010-2011","S01002089","All","Other Known","Ratio",0
"2008-2009","S01002089","All","Other Known","Ratio","6.7"
"2009-2010","S01002089","All","Other Known","Ratio",0
"2011-2012","S01002089","All","Other Known","Ratio",0
"2012-2013","S01002089","All","Other Known","Ratio",0
"2007-2008","S01002089","All","Other Known","Ratio","28.6"
"2012-2013","S01002090","All","All","Count",12
"2009-2010","S01002090","All","All","Count",9
"2007-2008","S01002090","All","All","Count",9
"2011-2012","S01002090","All","All","Count",6
"2010-2011","S01002090","All","All","Count",8
"2008-2009","S01002090","All","All","Count",10
"2008-2009","S01002090","All","Positive","Ratio",100
"2009-2010","S01002090","All","Positive","Ratio","77.8"
"2010-2011","S01002090","All","Positive","Ratio","87.5"
"2007-2008","S01002090","All","Positive","Ratio",100
"2011-2012","S01002090","All","Positive","Ratio","83.3"
"2012-2013","S01002090","All","Positive","Ratio","83.3"
"2010-2011","S01002090","All","Other Known","Ratio","12.5"
"2008-2009","S01002090","All","Other Known","Ratio",0
"2009-2010","S01002090","All","Other Known","Ratio","22.2"
"2011-2012","S01002090","All","Other Known","Ratio","16.7"
"2012-2013","S01002090","All","Other Known","Ratio","16.7"
"2007-2008","S01002090","All","Other Known","Ratio",0
"2010-2011","S01002091","All","Other Known","Ratio","33.3"
"2008-2009","S01002091","All","Other Known","Ratio",0
"2009-2010","S01002091","All","Other Known","Ratio",0
"2011-2012","S01002091","All","Other Known","Ratio",0
"2012-2013","S01002091","All","Other Known","Ratio","16.7"
"2007-2008","S01002091","All","Other Known","Ratio","33.3"
"2007-2008","S01002091","All","All","Count",6
"2010-2011","S01002091","All","All","Count",3
"2009-2010","S01002091","All","All","Count",2
"2008-2009","S01002091","All","All","Count",2
"2012-2013","S01002091","All","All","Count",6
"2011-2012","S01002091","All","All","Count",0
"2011-2012","S01002091","All","Positive","Ratio",0
"2012-2013","S01002091","All","Positive","Ratio","83.3"
"2007-2008","S01002091","All","Positive","Ratio","66.7"
"2010-2011","S01002091","All","Positive","Ratio","66.7"
"2008-2009","S01002091","All","Positive","Ratio",100
"2009-2010","S01002091","All","Positive","Ratio",100
"2012-2013","S01002092","All","All","Count",2
"2009-2010","S01002092","All","All","Count",5
"2007-2008","S01002092","All","All","Count",4
"2011-2012","S01002092","All","All","Count",3
"2010-2011","S01002092","All","All","Count",10
"2008-2009","S01002092","All","All","Count",9
"2008-2009","S01002092","All","Positive","Ratio","88.9"
"2009-2010","S01002092","All","Positive","Ratio",100
"2010-2011","S01002092","All","Positive","Ratio",80
"2007-2008","S01002092","All","Positive","Ratio",75
"2011-2012","S01002092","All","Positive","Ratio",100
"2012-2013","S01002092","All","Positive","Ratio",100
"2010-2011","S01002092","All","Other Known","Ratio",20
"2008-2009","S01002092","All","Other Known","Ratio","11.1"
"2009-2010","S01002092","All","Other Known","Ratio",0
"2011-2012","S01002092","All","Other Known","Ratio",0
"2012-2013","S01002092","All","Other Known","Ratio",0
"2007-2008","S01002092","All","Other Known","Ratio",25
"2012-2013","S01002093","All","All","Count",2
"2009-2010","S01002093","All","All","Count",3
"2007-2008","S01002093","All","All","Count",6
"2011-2012","S01002093","All","All","Count",3
"2010-2011","S01002093","All","All","Count",3
"2008-2009","S01002093","All","All","Count",7
"2008-2009","S01002093","All","Positive","Ratio","71.4"
"2009-2010","S01002093","All","Positive","Ratio","66.7"
"2010-2011","S01002093","All","Positive","Ratio",100
"2007-2008","S01002093","All","Positive","Ratio",50
"2011-2012","S01002093","All","Positive","Ratio","66.7"
"2012-2013","S01002093","All","Positive","Ratio",50
"2010-2011","S01002093","All","Other Known","Ratio",0
"2008-2009","S01002093","All","Other Known","Ratio","28.6"
"2009-2010","S01002093","All","Other Known","Ratio","33.3"
"2011-2012","S01002093","All","Other Known","Ratio","33.3"
"2012-2013","S01002093","All","Other Known","Ratio",50
"2007-2008","S01002093","All","Other Known","Ratio",50
"2012-2013","S01002094","All","All","Count",3
"2009-2010","S01002094","All","All","Count",9
"2007-2008","S01002094","All","All","Count",4
"2011-2012","S01002094","All","All","Count",4
"2010-2011","S01002094","All","All","Count",5
"2008-2009","S01002094","All","All","Count",13
"2008-2009","S01002094","All","Positive","Ratio","92.3"
"2009-2010","S01002094","All","Positive","Ratio","88.9"
"2010-2011","S01002094","All","Positive","Ratio",80
"2007-2008","S01002094","All","Positive","Ratio",100
"2011-2012","S01002094","All","Positive","Ratio",75
"2012-2013","S01002094","All","Positive","Ratio",100
"2010-2011","S01002094","All","Other Known","Ratio",20
"2008-2009","S01002094","All","Other Known","Ratio","7.7"
"2009-2010","S01002094","All","Other Known","Ratio","11.1"
"2011-2012","S01002094","All","Other Known","Ratio",25
"2012-2013","S01002094","All","Other Known","Ratio",0
"2007-2008","S01002094","All","Other Known","Ratio",0
"2010-2011","S01002095","All","Other Known","Ratio",0
"2008-2009","S01002095","All","Other Known","Ratio",0
"2009-2010","S01002095","All","Other Known","Ratio",50
"2011-2012","S01002095","All","Other Known","Ratio",0
"2012-2013","S01002095","All","Other Known","Ratio",0
"2007-2008","S01002095","All","Other Known","Ratio",0
"2007-2008","S01002095","All","All","Count",0
"2010-2011","S01002095","All","All","Count",0
"2009-2010","S01002095","All","All","Count",2
"2008-2009","S01002095","All","All","Count",2
"2012-2013","S01002095","All","All","Count",1
"2011-2012","S01002095","All","All","Count",2
"2011-2012","S01002095","All","Positive","Ratio",100
"2012-2013","S01002095","All","Positive","Ratio",100
"2007-2008","S01002095","All","Positive","Ratio",0
"2010-2011","S01002095","All","Positive","Ratio",0
"2008-2009","S01002095","All","Positive","Ratio",100
"2009-2010","S01002095","All","Positive","Ratio",50
"2012-2013","S01002096","All","All","Count",19
"2009-2010","S01002096","All","All","Count",11
"2007-2008","S01002096","All","All","Count",21
"2011-2012","S01002096","All","All","Count",14
"2010-2011","S01002096","All","All","Count",12
"2008-2009","S01002096","All","All","Count",17
"2008-2009","S01002096","All","Positive","Ratio","94.1"
"2009-2010","S01002096","All","Positive","Ratio",100
"2010-2011","S01002096","All","Positive","Ratio",100
"2007-2008","S01002096","All","Positive","Ratio","95.2"
"2011-2012","S01002096","All","Positive","Ratio",100
"2012-2013","S01002096","All","Positive","Ratio","89.5"
"2010-2011","S01002096","All","Other Known","Ratio",0
"2008-2009","S01002096","All","Other Known","Ratio","5.9"
"2009-2010","S01002096","All","Other Known","Ratio",0
"2011-2012","S01002096","All","Other Known","Ratio",0
"2012-2013","S01002096","All","Other Known","Ratio","10.5"
"2007-2008","S01002096","All","Other Known","Ratio","4.8"
"2010-2011","S01002097","All","Other Known","Ratio",0
"2008-2009","S01002097","All","Other Known","Ratio",0
"2009-2010","S01002097","All","Other Known","Ratio","12.5"
"2011-2012","S01002097","All","Other Known","Ratio",0
"2012-2013","S01002097","All","Other Known","Ratio",0
"2007-2008","S01002097","All","Other Known","Ratio",0
"2007-2008","S01002097","All","All","Count",10
"2010-2011","S01002097","All","All","Count",6
"2009-2010","S01002097","All","All","Count",8
"2008-2009","S01002097","All","All","Count",9
"2012-2013","S01002097","All","All","Count",6
"2011-2012","S01002097","All","All","Count",11
"2011-2012","S01002097","All","Positive","Ratio",100
"2012-2013","S01002097","All","Positive","Ratio",100
"2007-2008","S01002097","All","Positive","Ratio",100
"2010-2011","S01002097","All","Positive","Ratio",100
"2008-2009","S01002097","All","Positive","Ratio",100
"2009-2010","S01002097","All","Positive","Ratio","87.5"
"2012-2013","S01002098","All","All","Count",5
"2009-2010","S01002098","All","All","Count",7
"2007-2008","S01002098","All","All","Count",6
"2011-2012","S01002098","All","All","Count",4
"2010-2011","S01002098","All","All","Count",6
"2008-2009","S01002098","All","All","Count",8
"2008-2009","S01002098","All","Positive","Ratio","87.5"
"2009-2010","S01002098","All","Positive","Ratio","85.7"
"2010-2011","S01002098","All","Positive","Ratio",100
"2007-2008","S01002098","All","Positive","Ratio",100
"2011-2012","S01002098","All","Positive","Ratio",100
"2012-2013","S01002098","All","Positive","Ratio",100
"2010-2011","S01002098","All","Other Known","Ratio",0
"2008-2009","S01002098","All","Other Known","Ratio","12.5"
"2009-2010","S01002098","All","Other Known","Ratio","14.3"
"2011-2012","S01002098","All","Other Known","Ratio",0
"2012-2013","S01002098","All","Other Known","Ratio",0
"2007-2008","S01002098","All","Other Known","Ratio",0
"2012-2013","S01002099","All","All","Count",3
"2009-2010","S01002099","All","All","Count",4
"2007-2008","S01002099","All","All","Count",1
"2011-2012","S01002099","All","All","Count",0
"2010-2011","S01002099","All","All","Count",1
"2008-2009","S01002099","All","All","Count",1
"2008-2009","S01002099","All","Positive","Ratio",100
"2009-2010","S01002099","All","Positive","Ratio",100
"2010-2011","S01002099","All","Positive","Ratio",100
"2007-2008","S01002099","All","Positive","Ratio",100
"2011-2012","S01002099","All","Positive","Ratio",0
"2012-2013","S01002099","All","Positive","Ratio","66.7"
"2010-2011","S01002099","All","Other Known","Ratio",0
"2008-2009","S01002099","All","Other Known","Ratio",0
"2009-2010","S01002099","All","Other Known","Ratio",0
"2011-2012","S01002099","All","Other Known","Ratio",0
"2012-2013","S01002099","All","Other Known","Ratio","33.3"
"2007-2008","S01002099","All","Other Known","Ratio",0
"2012-2013","S01002100","All","All","Count",5
"2009-2010","S01002100","All","All","Count",3
"2007-2008","S01002100","All","All","Count",9
"2011-2012","S01002100","All","All","Count",3
"2010-2011","S01002100","All","All","Count",8
"2008-2009","S01002100","All","All","Count",7
"2008-2009","S01002100","All","Positive","Ratio","85.7"
"2009-2010","S01002100","All","Positive","Ratio","66.7"
"2010-2011","S01002100","All","Positive","Ratio",75
"2007-2008","S01002100","All","Positive","Ratio",100
"2011-2012","S01002100","All","Positive","Ratio",100
"2012-2013","S01002100","All","Positive","Ratio",100
"2010-2011","S01002100","All","Other Known","Ratio",25
"2008-2009","S01002100","All","Other Known","Ratio","14.3"
"2009-2010","S01002100","All","Other Known","Ratio","33.3"
"2011-2012","S01002100","All","Other Known","Ratio",0
"2012-2013","S01002100","All","Other Known","Ratio",0
"2007-2008","S01002100","All","Other Known","Ratio",0
"2012-2013","S01002101","All","All","Count",5
"2009-2010","S01002101","All","All","Count",10
"2007-2008","S01002101","All","All","Count",8
"2011-2012","S01002101","All","All","Count",10
"2010-2011","S01002101","All","All","Count",5
"2008-2009","S01002101","All","All","Count",2
"2008-2009","S01002101","All","Positive","Ratio",100
"2009-2010","S01002101","All","Positive","Ratio",80
"2010-2011","S01002101","All","Positive","Ratio",80
"2007-2008","S01002101","All","Positive","Ratio","87.5"
"2011-2012","S01002101","All","Positive","Ratio",100
"2012-2013","S01002101","All","Positive","Ratio",80
"2010-2011","S01002101","All","Other Known","Ratio",20
"2008-2009","S01002101","All","Other Known","Ratio",0
"2009-2010","S01002101","All","Other Known","Ratio",20
"2011-2012","S01002101","All","Other Known","Ratio",0
"2012-2013","S01002101","All","Other Known","Ratio",20
"2007-2008","S01002101","All","Other Known","Ratio","12.5"
"2012-2013","S01002102","All","All","Count",5
"2009-2010","S01002102","All","All","Count",5
"2007-2008","S01002102","All","All","Count",7
"2011-2012","S01002102","All","All","Count",3
"2010-2011","S01002102","All","All","Count",7
"2008-2009","S01002102","All","All","Count",6
"2008-2009","S01002102","All","Positive","Ratio",50
"2009-2010","S01002102","All","Positive","Ratio",60
"2010-2011","S01002102","All","Positive","Ratio","71.4"
"2007-2008","S01002102","All","Positive","Ratio","85.7"
"2011-2012","S01002102","All","Positive","Ratio",100
"2012-2013","S01002102","All","Positive","Ratio",80
"2010-2011","S01002102","All","Other Known","Ratio","28.6"
"2008-2009","S01002102","All","Other Known","Ratio",50
"2009-2010","S01002102","All","Other Known","Ratio",40
"2011-2012","S01002102","All","Other Known","Ratio",0
"2012-2013","S01002102","All","Other Known","Ratio",20
"2007-2008","S01002102","All","Other Known","Ratio","14.3"
"2012-2013","S01002103","All","All","Count",8
"2009-2010","S01002103","All","All","Count",6
"2007-2008","S01002103","All","All","Count",7
"2011-2012","S01002103","All","All","Count",3
"2010-2011","S01002103","All","All","Count",6
"2008-2009","S01002103","All","All","Count",5
"2008-2009","S01002103","All","Positive","Ratio",80
"2009-2010","S01002103","All","Positive","Ratio",100
"2010-2011","S01002103","All","Positive","Ratio","83.3"
"2007-2008","S01002103","All","Positive","Ratio",100
"2011-2012","S01002103","All","Positive","Ratio",100
"2012-2013","S01002103","All","Positive","Ratio",100
"2010-2011","S01002103","All","Other Known","Ratio","16.7"
"2008-2009","S01002103","All","Other Known","Ratio",20
"2009-2010","S01002103","All","Other Known","Ratio",0
"2011-2012","S01002103","All","Other Known","Ratio",0
"2012-2013","S01002103","All","Other Known","Ratio",0
"2007-2008","S01002103","All","Other Known","Ratio",0
"2012-2013","S01002104","All","All","Count",6
"2009-2010","S01002104","All","All","Count",5
"2007-2008","S01002104","All","All","Count",6
"2011-2012","S01002104","All","All","Count",6
"2010-2011","S01002104","All","All","Count",9
"2008-2009","S01002104","All","All","Count",8
"2008-2009","S01002104","All","Positive","Ratio","62.5"
"2009-2010","S01002104","All","Positive","Ratio",100
"2010-2011","S01002104","All","Positive","Ratio","88.9"
"2007-2008","S01002104","All","Positive","Ratio","83.3"
"2011-2012","S01002104","All","Positive","Ratio","83.3"
"2012-2013","S01002104","All","Positive","Ratio",100
"2010-2011","S01002104","All","Other Known","Ratio","11.1"
"2008-2009","S01002104","All","Other Known","Ratio","37.5"
"2009-2010","S01002104","All","Other Known","Ratio",0
"2011-2012","S01002104","All","Other Known","Ratio","16.7"
"2012-2013","S01002104","All","Other Known","Ratio",0
"2007-2008","S01002104","All","Other Known","Ratio","16.7"
"2012-2013","S01002105","All","All","Count",2
"2009-2010","S01002105","All","All","Count",3
"2007-2008","S01002105","All","All","Count",0
"2011-2012","S01002105","All","All","Count",1
"2010-2011","S01002105","All","All","Count",4
"2008-2009","S01002105","All","All","Count",2
"2008-2009","S01002105","All","Positive","Ratio",100
"2009-2010","S01002105","All","Positive","Ratio",100
"2010-2011","S01002105","All","Positive","Ratio",75
"2007-2008","S01002105","All","Positive","Ratio",0
"2011-2012","S01002105","All","Positive","Ratio",100
"2012-2013","S01002105","All","Positive","Ratio",100
"2010-2011","S01002105","All","Other Known","Ratio",25
"2008-2009","S01002105","All","Other Known","Ratio",0
"2009-2010","S01002105","All","Other Known","Ratio",0
"2011-2012","S01002105","All","Other Known","Ratio",0
"2012-2013","S01002105","All","Other Known","Ratio",0
"2007-2008","S01002105","All","Other Known","Ratio",0
"2007-2008","S01002106","All","All","Count",1
"2010-2011","S01002106","All","All","Count",0
"2008-2009","S01002106","All","All","Count",1
"2009-2010","S01002106","All","All","Count",1
"2011-2012","S01002106","All","All","Count",3
"2012-2013","S01002106","All","All","Count",0
"2009-2010","S01002106","All","Positive","Ratio",100
"2010-2011","S01002106","All","Positive","Ratio",0
"2008-2009","S01002106","All","Positive","Ratio",100
"2011-2012","S01002106","All","Positive","Ratio","66.7"
"2007-2008","S01002106","All","Other Known","Ratio",0
"2009-2010","S01002106","All","Other Known","Ratio",0
"2010-2011","S01002106","All","Other Known","Ratio",0
"2008-2009","S01002106","All","Other Known","Ratio",0
"2011-2012","S01002106","All","Other Known","Ratio","33.3"
"2007-2008","S01002106","All","Positive","Ratio",100
"2012-2013","S01002107","All","All","Count",3
"2009-2010","S01002107","All","All","Count",9
"2007-2008","S01002107","All","All","Count",7
"2011-2012","S01002107","All","All","Count",10
"2010-2011","S01002107","All","All","Count",4
"2008-2009","S01002107","All","All","Count",8
"2008-2009","S01002107","All","Positive","Ratio","87.5"
"2009-2010","S01002107","All","Positive","Ratio","88.9"
"2010-2011","S01002107","All","Positive","Ratio",100
"2007-2008","S01002107","All","Positive","Ratio",100
"2011-2012","S01002107","All","Positive","Ratio",90
"2012-2013","S01002107","All","Positive","Ratio",100
"2010-2011","S01002107","All","Other Known","Ratio",0
"2008-2009","S01002107","All","Other Known","Ratio","12.5"
"2009-2010","S01002107","All","Other Known","Ratio","11.1"
"2011-2012","S01002107","All","Other Known","Ratio",10
"2012-2013","S01002107","All","Other Known","Ratio",0
"2007-2008","S01002107","All","Other Known","Ratio",0
"2012-2013","S01002108","All","All","Count",4
"2009-2010","S01002108","All","All","Count",1
"2007-2008","S01002108","All","All","Count",0
"2011-2012","S01002108","All","All","Count",1
"2010-2011","S01002108","All","All","Count",0
"2008-2009","S01002108","All","All","Count",0
"2008-2009","S01002108","All","Positive","Ratio",0
"2009-2010","S01002108","All","Positive","Ratio",0
"2010-2011","S01002108","All","Positive","Ratio",0
"2007-2008","S01002108","All","Positive","Ratio",0
"2011-2012","S01002108","All","Positive","Ratio",100
"2012-2013","S01002108","All","Positive","Ratio",100
"2010-2011","S01002108","All","Other Known","Ratio",0
"2008-2009","S01002108","All","Other Known","Ratio",0
"2009-2010","S01002108","All","Other Known","Ratio",100
"2011-2012","S01002108","All","Other Known","Ratio",0
"2012-2013","S01002108","All","Other Known","Ratio",0
"2007-2008","S01002108","All","Other Known","Ratio",0
"2012-2013","S01002109","All","All","Count",5
"2009-2010","S01002109","All","All","Count",2
"2007-2008","S01002109","All","All","Count",0
"2011-2012","S01002109","All","All","Count",3
"2010-2011","S01002109","All","All","Count",2
"2008-2009","S01002109","All","All","Count",2
"2008-2009","S01002109","All","Positive","Ratio",50
"2009-2010","S01002109","All","Positive","Ratio",100
"2010-2011","S01002109","All","Positive","Ratio",100
"2007-2008","S01002109","All","Positive","Ratio",0
"2011-2012","S01002109","All","Positive","Ratio",100
"2012-2013","S01002109","All","Positive","Ratio",100
"2010-2011","S01002109","All","Other Known","Ratio",0
"2008-2009","S01002109","All","Other Known","Ratio",50
"2009-2010","S01002109","All","Other Known","Ratio",0
"2011-2012","S01002109","All","Other Known","Ratio",0
"2012-2013","S01002109","All","Other Known","Ratio",0
"2007-2008","S01002109","All","Other Known","Ratio",0
"2010-2011","S01002110","All","All","Count",2
"2010-2011","S01002110","All","Positive","Ratio",100
"2010-2011","S01002110","All","Other Known","Ratio",0
"2008-2009","S01002110","All","Positive","Ratio",100
"2008-2009","S01002110","All","All","Count",3
"2008-2009","S01002110","All","Other Known","Ratio",0
"2009-2010","S01002110","All","All","Count",1
"2009-2010","S01002110","All","Other Known","Ratio",0
"2009-2010","S01002110","All","Positive","Ratio",100
"2011-2012","S01002110","All","All","Count",2
"2011-2012","S01002110","All","Positive","Ratio",100
"2011-2012","S01002110","All","Other Known","Ratio",0
"2012-2013","S01002110","All","Positive","Ratio",100
"2012-2013","S01002110","All","All","Count",1
"2012-2013","S01002110","All","Other Known","Ratio",0
"2007-2008","S01002110","All","Other Known","Ratio",0
"2007-2008","S01002110","All","All","Count",0
"2007-2008","S01002110","All","Positive","Ratio",0
"2012-2013","S01002111","All","All","Count",11
"2009-2010","S01002111","All","All","Count",7
"2007-2008","S01002111","All","All","Count",13
"2011-2012","S01002111","All","All","Count",10
"2010-2011","S01002111","All","All","Count",7
"2008-2009","S01002111","All","All","Count",2
"2008-2009","S01002111","All","Positive","Ratio",100
"2009-2010","S01002111","All","Positive","Ratio",100
"2010-2011","S01002111","All","Positive","Ratio","85.7"
"2007-2008","S01002111","All","Positive","Ratio","84.6"
"2011-2012","S01002111","All","Positive","Ratio",100
"2012-2013","S01002111","All","Positive","Ratio",100
"2010-2011","S01002111","All","Other Known","Ratio","14.3"
"2008-2009","S01002111","All","Other Known","Ratio",0
"2009-2010","S01002111","All","Other Known","Ratio",0
